"Source: Calculated by ReFED based on data from various sources. See https://insights.refed.com/methodology for more information. Data last updated January 23, 2021",,,,,,,
,,,,,,,
,,,,,,,
solution_group,solution_priority_action_area,solution_name,stakeholder,state,annual_us_dollars_cost,annual_us_dollars_gross_financial_benefit,annual_us_dollars_net_financial_benefit
Prevention,Reshape Consumer Environments,Portion Sizes,Foodservice,Maine,112642.2996,2094547.497,1981905.197
Prevention,Reshape Consumer Environments,K-12 Education Campaigns,Foodservice,Minnesota,286.1811073,286.1811073,0
Prevention,Refine Product Management,Assisted Distressed Sales,Manufacturers,Alabama,53277.78134,3145926.137,3092648.356
Recycling,Recycle Anything Remaining,Community Composting,Government,Utah,0,37816.41675,37816.41675
Prevention,Maximize Product Utilization,Manufacturing Line Optimization,Manufacturers,Michigan,8368112.276,18412727.6,10044615.32
Prevention,Refine Product Management,Markdown Alert Applications,Solution Providers,West Virginia,0,6250574.336,6250574.336
Rescue,Strengthen Food Rescue,Donation Storage Handling & Capacity,Consumers,Nebraska,0,4207965.182,4207965.182
Rescue,Strengthen Food Rescue,Donation Storage Handling & Capacity,Consumers,Minnesota,0,11352283.57,11352283.57
Prevention,Maximize Product Utilization,Manufacturing Byproduct Utilization (upcycling),Solution Providers,Mississippi,5402340.276,7509252.983,2106912.707
Prevention,Refine Product Management,Minimized On Hand Inventory,Retailers,Delaware,161711.6544,2013595.027,1851883.373
Prevention,Maximize Product Utilization,Manufacturing Byproduct Utilization (upcycling),Manufacturers,Arkansas,0,11858023.62,11858023.62
Prevention,Reshape Consumer Environments,Consumer Education Campaigns,Government,South Carolina,1181087.314,0,-1181087.314
Prevention,Reshape Consumer Environments,Portion Sizes,Solution Providers,Connecticut,0,293283.2465,293283.2465
Rescue,Strengthen Food Rescue,Donation Value-added Processing,Solution Providers,North Carolina,2263319.315,0,-2263319.315
Prevention,Optimize The Harvest,Imperfect & Surplus Produce Channels,Producers,California,263085232.5,1295792829,1032707596
Prevention,Optimize The Harvest,Partial Order Acceptance,Retailers,New Jersey,389393.8056,407897.1713,18503.36566
Recycling,Recycle Anything Remaining,Centralized Composting,Solution Providers,Minnesota,12155749.36,13641181.36,1485431.998
Prevention,Refine Product Management,Dynamic Pricing,Retailers,Washington,25073913.89,26061013.41,987099.5163
Prevention,Optimize The Harvest,Partial Order Acceptance,Foodservice,Mississippi,199647.8426,209134.7861,9486.943501
Recycling,Recycle Anything Remaining,Centralized Composting,Foodservice,Georgia,0,87170.48474,87170.48474
Prevention,Enhance Product Distribution,Decreased Transit Time,Manufacturers,Connecticut,67151.38344,353275.744,286124.3606
Prevention,Reshape Consumer Environments,Meal Kits,Consumers,Rhode Island,1933029.89,19330298.9,17397269.01
Recycling,Recycle Anything Remaining,Centralized Composting,Consumers,Wyoming,0,15035.8809,15035.8809
Prevention,Enhance Product Distribution,Intelligent Routing,Solution Providers,Missouri,0,14341152.93,14341152.93
Prevention,Optimize The Harvest,Gleaning,Producers,Mississippi,326.1197035,0,-326.1197035
Prevention,Optimize The Harvest,Imperfect & Surplus Produce Channels,Foodservice,Wisconsin,0,16009108.76,16009108.76
Prevention,Maximize Product Utilization,Manufacturing Byproduct Utilization (upcycling),Manufacturers,Ohio,0,90730903.94,90730903.94
Prevention,Optimize The Harvest,Gleaning,Solution Providers,Michigan,1316122.684,0,-1316122.684
Prevention,Refine Product Management,Assisted Distressed Sales,Manufacturers,Massachusetts,70347.78056,4153868.948,4083521.168
Recycling,Recycle Anything Remaining,Centralized Composting,Manufacturers,Connecticut,0,7727.583197,7727.583197
Recycling,Recycle Anything Remaining,Livestock Feed,Retailers,Rhode Island,771.1929782,555.146808,-216.0461701
Prevention,Reshape Consumer Environments,K-12 Lunch Improvements,Government,Alabama,93.50831843,93.50831843,0
Prevention,Enhance Product Distribution,Intelligent Routing,Solution Providers,Rhode Island,0,1991828.288,1991828.288
Recycling,Recycle Anything Remaining,Centralized Anaerobic Digestion,Manufacturers,Texas,0,37208.10466,37208.10466
Recycling,Recycle Anything Remaining,Centralized Composting,Consumers,Connecticut,0,91777.78382,91777.78382
Prevention,Reshape Consumer Environments,Standardized Date Labels,Retailers,New York,17011.2916,13588856.6,13571845.31
Prevention,Refine Product Management,Enhanced Demand Planning,Solution Providers,Florida,0,20040638.69,20040638.69
Prevention,Maximize Product Utilization,Active & Intelligent Packaging,Retailers,Alaska,0,317380.1674,317380.1674
Prevention,Refine Product Management,Decreased Minimum Order Quantity,Foodservice,Pennsylvania,135496.8232,913946.2634,778449.4402
Recycling,Recycle Anything Remaining,Centralized Anaerobic Digestion,Foodservice,Alaska,0,1071.512171,1071.512171
Rescue,Strengthen Food Rescue,Donation Education,Foodservice,New Mexico,154940.4873,234354.4815,79413.99424
Recycling,Recycle Anything Remaining,Centralized Composting,Solution Providers,Illinois,20716695.42,23248274.62,2531579.202
Recycling,Recycle Anything Remaining,Community Composting,Government,Ohio,0,170496.1192,170496.1192
Prevention,Refine Product Management,Markdown Alert Applications,Foodservice,Vermont,1027900.96,3178201.401,2150300.441
Recycling,Recycle Anything Remaining,Home Composting,Consumers,Iowa,3617.121244,0,-3617.121244
Prevention,Enhance Product Distribution,Reduced Warehouse Handling,Retailers,Georgia,380795.3945,1933306.372,1552510.978
Prevention,Reshape Consumer Environments,Standardized Date Labels,Retailers,Connecticut,4619.006058,3750728.391,3746109.385
Prevention,Refine Product Management,Increased Delivery Frequency,Foodservice,Arizona,126153.5957,536730.2415,410576.6458
Prevention,Enhance Product Distribution,Temperature Monitoring (pallet Transport),Manufacturers,Montana,161243.2215,104601.8235,-56641.39797
Recycling,Recycle Anything Remaining,Livestock Feed,Foodservice,Utah,18484.78959,13306.36071,-5178.428889
Recycling,Recycle Anything Remaining,Home Composting,Consumers,Connecticut,4937.854221,0,-4937.854221
Rescue,Strengthen Food Rescue,Donation Transportation,Producers,Illinois,141882.4288,0,-141882.4288
Prevention,Reshape Consumer Environments,Package Design,Manufacturers,Texas,43488325.73,0,-43488325.73
Rescue,Strengthen Food Rescue,Donation Transportation,Manufacturers,Alabama,32731.59947,23418.98921,-9312.610261
Prevention,Reshape Consumer Environments,Standardized Date Labels,Manufacturers,Washington,168542.6694,1899468.375,1730925.706
Recycling,Recycle Anything Remaining,Home Composting,Consumers,Hawaii,1406.579675,0,-1406.579675
Prevention,Refine Product Management,Enhanced Demand Planning,Solution Providers,Kentucky,0,4091805.88,4091805.88
Prevention,Refine Product Management,Decreased Minimum Order Quantity,Foodservice,Wisconsin,56716.579,382561.7768,325845.1978
Prevention,Optimize The Harvest,Partial Order Acceptance,Retailers,Iowa,801272.41,839347.5827,38075.17269
Prevention,Enhance Product Distribution,Temperature Monitoring (pallet Transport),Retailers,New Mexico,348464.6271,6888490.626,6540025.999
Prevention,Optimize The Harvest,Partial Order Acceptance,Foodservice,New Hampshire,3222.857762,3376.002766,153.1450033
Prevention,Optimize The Harvest,Partial Order Acceptance,Producers,Georgia,0,1687056.707,1687056.707
Rescue,Strengthen Food Rescue,Donation Coordination & Matching,Retailers,Nebraska,30285.56695,21017.24604,-9268.320907
Recycling,Recycle Anything Remaining,Home Composting,Consumers,Michigan,12287.2884,0,-12287.2884
Prevention,Maximize Product Utilization,Active & Intelligent Packaging,Consumers,South Dakota,0,5153842.3,5153842.3
Recycling,Recycle Anything Remaining,Centralized Anaerobic Digestion,Consumers,Texas,0,185640.989,185640.989
Rescue,Strengthen Food Rescue,Donation Coordination & Matching,Government,Virginia,538342.7703,0,-538342.7703
Prevention,Reshape Consumer Environments,K-12 Lunch Improvements,Government,Louisiana,102.8809785,102.8809785,0
Prevention,Refine Product Management,Assisted Distressed Sales,Solution Providers,South Dakota,0,16135.51397,16135.51397
Recycling,Recycle Anything Remaining,Home Composting,Consumers,North Carolina,13450.78043,0,-13450.78043
Rescue,Strengthen Food Rescue,Donation Storage Handling & Capacity,Foodservice,North Carolina,248266.269,375513.9393,127247.6704
Rescue,Strengthen Food Rescue,Donation Storage Handling & Capacity,Government,Nebraska,73078.4336,0,-73078.4336
Prevention,Optimize The Harvest,Imperfect & Surplus Produce Channels,Foodservice,Nebraska,0,3037468.448,3037468.448
Rescue,Strengthen Food Rescue,Donation Coordination & Matching,Government,Florida,1294426.489,0,-1294426.489
Prevention,Maximize Product Utilization,Active & Intelligent Packaging,Retailers,North Carolina,0,4769808.245,4769808.245
Recycling,Recycle Anything Remaining,Centralized Composting,Producers,Wisconsin,0,14578.86127,14578.86127
Recycling,Recycle Anything Remaining,Centralized Anaerobic Digestion,Solution Providers,Kentucky,4974712.981,6856331.371,1881618.39
Recycling,Recycle Anything Remaining,Centralized Composting,Manufacturers,Idaho,0,35791.74907,35791.74907
Rescue,Strengthen Food Rescue,Donation Value-added Processing,Consumers,Texas,0,12015282.98,12015282.98
Rescue,Strengthen Food Rescue,Donation Storage Handling & Capacity,Retailers,Mississippi,35423.89466,24583.08642,-10840.80823
Prevention,Refine Product Management,Assisted Distressed Sales,Solution Providers,Vermont,0,13367.44986,13367.44986
Prevention,Enhance Product Distribution,Reduced Warehouse Handling,Retailers,Vermont,20433.86115,103743.1506,83309.28945
Recycling,Recycle Anything Remaining,Centralized Composting,Consumers,South Carolina,0,122072.2048,122072.2048
Rescue,Strengthen Food Rescue,Donation Education,Consumers,Indiana,0,62261794.73,62261794.73
Prevention,Optimize The Harvest,Buyer Specification Expansion,Producers,Wisconsin,86752.30981,26323132.88,26236380.57
Rescue,Strengthen Food Rescue,Donation Storage Handling & Capacity,Manufacturers,Utah,14438.95726,10330.8665,-4108.090766
Prevention,Reshape Consumer Environments,Standardized Date Labels,Manufacturers,Montana,20042.90072,87205.26083,67162.3601
Prevention,Reshape Consumer Environments,K-12 Lunch Improvements,Foodservice,Arkansas,3070.143987,8125.931339,5055.787352
Recycling,Recycle Anything Remaining,Community Composting,Government,Oklahoma,0,44067.27599,44067.27599
Prevention,Refine Product Management,Decreased Minimum Order Quantity,Retailers,New Jersey,2508093.447,16917464.03,14409370.59
Rescue,Strengthen Food Rescue,Donation Storage Handling & Capacity,Manufacturers,Kansas,21874.56889,15650.9398,-6223.629091
Rescue,Strengthen Food Rescue,Donation Transportation,Manufacturers,Massachusetts,42559.1452,30450.457,-12108.6882
Prevention,Refine Product Management,Dynamic Pricing,Retailers,Hawaii,2605860.636,2708447.084,102586.4484
Recycling,Recycle Anything Remaining,Community Composting,Consumers,Missouri,32877.40781,0,-32877.40781
Prevention,Optimize The Harvest,Partial Order Acceptance,Foodservice,Texas,1898118.725,1988314.265,90195.54065
Recycling,Recycle Anything Remaining,Livestock Feed,Manufacturers,Tennessee,29240.48796,21048.89958,-8191.588377
Rescue,Strengthen Food Rescue,Donation Coordination & Matching,Government,Georgia,661253.9176,0,-661253.9176
Rescue,Strengthen Food Rescue,Donation Coordination & Matching,Consumers,California,0,74556789.23,74556789.23
Prevention,Reshape Consumer Environments,Portion Sizes,Solution Providers,Utah,0,269108.8348,269108.8348
Prevention,Enhance Product Distribution,Intelligent Routing,Solution Providers,Oklahoma,0,5519095.841,5519095.841
Prevention,Refine Product Management,Increased Delivery Frequency,Retailers,Maryland,1960626.647,8341637.887,6381011.24
Prevention,Refine Product Management,Markdown Alert Applications,Solution Providers,Colorado,0,24354873.28,24354873.28
Prevention,Reshape Consumer Environments,K-12 Lunch Improvements,Foodservice,Michigan,123195.6595,326069.2249,202873.5654
Prevention,Enhance Product Distribution,Temperature Monitoring (pallet Transport),Retailers,Michigan,2091849.918,41351940.57,39260090.66
Prevention,Enhance Product Distribution,Temperature Monitoring (pallet Transport),Producers,South Carolina,1065653.465,259102.9316,-806550.5335
Prevention,Enhance Product Distribution,Temperature Monitoring (pallet Transport),Producers,Maryland,1192593.537,0,-1192593.537
Prevention,Reshape Consumer Environments,K-12 Lunch Improvements,Solution Providers,Virginia,0,154680.7219,154680.7219
Prevention,Optimize The Harvest,Imperfect & Surplus Produce Channels,Consumers,Idaho,0,91226.8999,91226.8999
Prevention,Reshape Consumer Environments,K-12 Education Campaigns,Government,Colorado,42003.80804,509367.9413,467364.1333
Rescue,Strengthen Food Rescue,Donation Coordination & Matching,Government,Idaho,83818.98879,0,-83818.98879
Recycling,Recycle Anything Remaining,Centralized Composting,Retailers,Connecticut,0,13970.85916,13970.85916
Prevention,Reshape Consumer Environments,Portion Sizes,Consumers,Minnesota,0,128566163.7,128566163.7
Prevention,Reshape Consumer Environments,Standardized Date Labels,Retailers,North Dakota,1131.150826,893081.2853,891950.1345
Prevention,Reshape Consumer Environments,Consumer Education Campaigns,Government,Missouri,1371964.63,0,-1371964.63
Prevention,Enhance Product Distribution,Intelligent Routing,Foodservice,Mississippi,243492.1567,811359.2555,567867.0988
Prevention,Refine Product Management,Increased Delivery Frequency,Foodservice,Nebraska,35442.64359,150793.4716,115350.828
Prevention,Enhance Product Distribution,Temperature Monitoring (pallet Transport),Solution Providers,Colorado,0,5022773.277,5022773.277
Rescue,Strengthen Food Rescue,Donation Coordination & Matching,Foodservice,Wyoming,21362.80223,32312.20276,10949.40053
Prevention,Enhance Product Distribution,Reduced Warehouse Handling,Foodservice,Louisiana,13941.40382,70780.80573,56839.40191
Prevention,Reshape Consumer Environments,Meal Kits,Retailers,Colorado,0,39154.6373,39154.6373
Rescue,Strengthen Food Rescue,Donation Coordination & Matching,Solution Providers,Washington,591113.6996,0,-591113.6996
Prevention,Reshape Consumer Environments,Small Plates,Solution Providers,South Dakota,0,134266.7863,134266.7863
Recycling,Recycle Anything Remaining,Centralized Composting,Solution Providers,New Mexico,3019370.983,3388337.975,368966.9917
Prevention,Enhance Product Distribution,Reduced Warehouse Handling,Manufacturers,Hawaii,2923.238167,14841.34277,11918.1046
Recycling,Recycle Anything Remaining,Centralized Composting,Manufacturers,Rhode Island,0,1943.591414,1943.591414
Prevention,Reshape Consumer Environments,K-12 Lunch Improvements,Foodservice,Nebraska,36282.3615,96030.66814,59748.30664
Prevention,Reshape Consumer Environments,K-12 Education Campaigns,Foodservice,Illinois,650.1213225,650.1213225,0
Prevention,Reshape Consumer Environments,Meal Kits,Consumers,Georgia,23033760.17,230337601.7,207303841.5
Prevention,Refine Product Management,Markdown Alert Applications,Retailers,New Hampshire,1992566.666,7059185.792,5066619.125
Prevention,Reshape Consumer Environments,Trayless,Foodservice,South Carolina,334210.4591,6005149.232,5670938.773
Prevention,Refine Product Management,Minimized On Hand Inventory,Retailers,Utah,426521.3701,5310942.573,4884421.203
Prevention,Reshape Consumer Environments,Small Plates,Foodservice,Delaware,36186.81047,353545.01,317358.1996
Prevention,Refine Product Management,Increased Delivery Frequency,Retailers,Minnesota,1924043.154,8185990.584,6261947.43
Rescue,Strengthen Food Rescue,Donation Value-added Processing,Solution Providers,Texas,1371551.758,0,-1371551.758
Rescue,Strengthen Food Rescue,Donation Value-added Processing,Consumers,South Carolina,0,2423433.321,2423433.321
Prevention,Reshape Consumer Environments,Meal Kits,Consumers,Alabama,11026050.6,110260506,99234455.41
Prevention,Reshape Consumer Environments,Meal Kits,Retailers,Mississippi,0,16415.66282,16415.66282
Prevention,Refine Product Management,Enhanced Demand Planning,Retailers,Washington,6587187.439,124533252.6,117946065.1
Recycling,Recycle Anything Remaining,Centralized Anaerobic Digestion,Consumers,Mississippi,0,19616.30907,19616.30907
Rescue,Strengthen Food Rescue,Donation Transportation,Retailers,Kentucky,158828.8983,110222.3393,-48606.55908
Prevention,Refine Product Management,Dynamic Pricing,Retailers,Missouri,18491472.32,19219436.99,727964.6672
Rescue,Strengthen Food Rescue,Donation Storage Handling & Capacity,Manufacturers,North Dakota,4731.847917,3385.569209,-1346.278708
Recycling,Recycle Anything Remaining,Centralized Anaerobic Digestion,Consumers,Vermont,0,3660.655821,3660.655821
Prevention,Refine Product Management,Markdown Alert Applications,Foodservice,South Dakota,2285626.739,7067005.858,4781379.119
Prevention,Refine Product Management,Decreased Minimum Order Quantity,Foodservice,North Carolina,130285.9646,878798.2455,748512.2809
Prevention,Optimize The Harvest,Partial Order Acceptance,Foodservice,Maryland,139111.1672,145721.5055,6610.338315
Prevention,Enhance Product Distribution,First Expired First Out,Foodservice,Idaho,25027.03655,97877.16049,72850.12395
Prevention,Maximize Product Utilization,Active & Intelligent Packaging,Manufacturers,Utah,2408834.944,0,-2408834.944
Rescue,Strengthen Food Rescue,Donation Transportation,Solution Providers,New Hampshire,613522.8616,0,-613522.8616
Prevention,Maximize Product Utilization,Manufacturing Line Optimization,Manufacturers,Iowa,8030114.062,17669015.17,9638901.113
Rescue,Strengthen Food Rescue,Donation Transportation,Retailers,Mississippi,94080.0155,65288.61872,-28791.39678
Prevention,Reshape Consumer Environments,K-12 Education Campaigns,Government,Utah,24247.43918,294041.6299,269794.1907
Prevention,Enhance Product Distribution,Reduced Warehouse Handling,Retailers,Tennessee,264763.5933,1344210.433,1079446.839
Recycling,Recycle Anything Remaining,Centralized Composting,Consumers,Arkansas,0,60053.44315,60053.44315
Rescue,Strengthen Food Rescue,Donation Coordination & Matching,Retailers,Arkansas,46971.05212,32596.45629,-14374.59583
Rescue,Strengthen Food Rescue,Donation Transportation,Retailers,Oklahoma,87133.94541,60468.26108,-26665.68433
Prevention,Maximize Product Utilization,Active & Intelligent Packaging,Solution Providers,Mississippi,0,2385285.988,2385285.988
Rescue,Strengthen Food Rescue,Donation Education,Consumers,Connecticut,0,12234458.9,12234458.9
Rescue,Strengthen Food Rescue,Donation Value-added Processing,Solution Providers,Washington,7368072.799,0,-7368072.799
Prevention,Enhance Product Distribution,First Expired First Out,Retailers,West Virginia,2014963.863,7880235.484,5865271.62
Prevention,Optimize The Harvest,Partial Order Acceptance,Retailers,Wyoming,2252.255256,2359.278794,107.0235375
Recycling,Recycle Anything Remaining,Home Composting,Government,Kansas,25431.88507,74430.65029,48998.76522
Prevention,Optimize The Harvest,Imperfect & Surplus Produce Channels,Foodservice,Minnesota,0,7550664.736,7550664.736
Prevention,Reshape Consumer Environments,K-12 Education Campaigns,Foodservice,Hawaii,74.74263947,74.74263947,0
Prevention,Optimize The Harvest,Partial Order Acceptance,Manufacturers,Iowa,0,1678695.166,1678695.166
Prevention,Enhance Product Distribution,Decreased Transit Time,Manufacturers,Florida,294131.5031,1547392.18,1253260.677
Prevention,Maximize Product Utilization,Manufacturing Line Optimization,Manufacturers,California,28570864.87,62865737.79,34294872.91
Prevention,Enhance Product Distribution,First Expired First Out,Retailers,Maine,2642492.94,10334411.95,7691919.011
Prevention,Refine Product Management,Assisted Distressed Sales,Solution Providers,New York,0,208031.2878,208031.2878
Prevention,Refine Product Management,Temperature Monitoring (foodservice),Foodservice,Illinois,8071.30267,611194.8746,603123.572
Prevention,Optimize The Harvest,Buyer Specification Expansion,Producers,Colorado,36487.04154,11071212.34,11034725.3
Rescue,Strengthen Food Rescue,Donation Storage Handling & Capacity,Retailers,Montana,9252.130995,6420.692531,-2831.438463
Prevention,Maximize Product Utilization,Active & Intelligent Packaging,Retailers,Indiana,0,3632691.555,3632691.555
Prevention,Refine Product Management,Assisted Distressed Sales,Manufacturers,Rhode Island,4810.831867,284068.1674,279257.3356
Recycling,Recycle Anything Remaining,Centralized Anaerobic Digestion,Retailers,Maryland,0,6947.586494,6947.586494
Prevention,Reshape Consumer Environments,Trayless,Foodservice,Rhode Island,57610.72151,1035159.046,977548.3246
Prevention,Reshape Consumer Environments,Portion Sizes,Foodservice,Mississippi,251596.8155,4678362.234,4426765.419
Prevention,Enhance Product Distribution,Decreased Transit Time,Retailers,Utah,3943181.158,20744624.85,16801443.69
Prevention,Refine Product Management,Assisted Distressed Sales,Solution Providers,Colorado,0,53615.85892,53615.85892
Prevention,Refine Product Management,Waste Tracking (foodservice),Foodservice,West Virginia,5141710.99,17930086.56,12788375.57
Rescue,Strengthen Food Rescue,Donation Coordination & Matching,Government,Rhode Island,53472.30969,0,-53472.30969
Rescue,Strengthen Food Rescue,Donation Value-added Processing,Solution Providers,Massachusetts,19764.32487,0,-19764.32487
Recycling,Recycle Anything Remaining,Home Composting,Government,Oklahoma,24711.49326,72322.30358,47610.81033
Rescue,Strengthen Food Rescue,Donation Coordination & Matching,Solution Providers,New Hampshire,130758.1205,0,-130758.1205
Rescue,Strengthen Food Rescue,Donation Education,Manufacturers,Ohio,384748.2129,275281.8192,-109466.3937
Prevention,Optimize The Harvest,Partial Order Acceptance,Manufacturers,Wyoming,0,4718.557588,4718.557588
Recycling,Recycle Anything Remaining,Community Composting,Solution Providers,North Dakota,16599.6227,4833.268474,-11766.35423
Prevention,Refine Product Management,Waste Tracking (foodservice),Solution Providers,Nevada,0,17317616.88,17317616.88
Rescue,Strengthen Food Rescue,Donation Education,Solution Providers,Wyoming,75266.60258,0,-75266.60258
Prevention,Reshape Consumer Environments,Standardized Date Labels,Manufacturers,Florida,558698.9584,2218695.442,1659996.483
Prevention,Reshape Consumer Environments,Standardized Date Labels,Manufacturers,West Virginia,42991.61939,10016.4761,-32975.1433
Prevention,Enhance Product Distribution,Reduced Warehouse Handling,Foodservice,Kentucky,15160.9587,76972.51195,61811.55326
Rescue,Strengthen Food Rescue,Donation Education,Foodservice,Idaho,117719.273,178055.7146,60336.44161
Prevention,Enhance Product Distribution,Intelligent Routing,Retailers,Delaware,2214500.198,7379109.275,5164609.077
Prevention,Optimize The Harvest,Partial Order Acceptance,Foodservice,South Dakota,82632.77338,86559.3495,3926.576127
Prevention,Reshape Consumer Environments,Standardized Date Labels,Manufacturers,Alabama,115197.3266,364909.5634,249712.2368
Recycling,Recycle Anything Remaining,Centralized Anaerobic Digestion,Solution Providers,New York,16504652.93,22747316.29,6242663.362
Recycling,Recycle Anything Remaining,Centralized Composting,Consumers,South Dakota,0,20188.23872,20188.23872
Prevention,Enhance Product Distribution,Intelligent Routing,Manufacturers,Alaska,21662.27392,72182.55684,50520.28292
Prevention,Optimize The Harvest,Imperfect & Surplus Produce Channels,Retailers,Michigan,0,40037919.71,40037919.71
Prevention,Refine Product Management,Decreased Minimum Order Quantity,Retailers,Kentucky,1371071.355,9248080.592,7877009.238
Prevention,Refine Product Management,Markdown Alert Applications,Solution Providers,Utah,0,10576170.98,10576170.98
Prevention,Refine Product Management,Increased Delivery Frequency,Foodservice,Pennsylvania,204019.0008,868014.6367,663995.6359
Prevention,Refine Product Management,Markdown Alert Applications,Solution Providers,New Hampshire,0,5511425.779,5511425.779
Recycling,Recycle Anything Remaining,Centralized Composting,Manufacturers,Georgia,0,33766.59475,33766.59475
Prevention,Enhance Product Distribution,Reduced Warehouse Handling,Foodservice,Maine,3370.476755,17111.98266,13741.5059
Prevention,Optimize The Harvest,Partial Order Acceptance,Manufacturers,Vermont,0,161512.3445,161512.3445
Prevention,Refine Product Management,Decreased Minimum Order Quantity,Retailers,Wyoming,195238.4888,1316912.7,1121674.211
Prevention,Enhance Product Distribution,Reduced Warehouse Handling,Manufacturers,Wyoming,267.7451164,1359.347689,1091.602573
Rescue,Strengthen Food Rescue,Donation Storage Handling & Capacity,Consumers,Missouri,0,8499242.378,8499242.378
Rescue,Strengthen Food Rescue,Donation Storage Handling & Capacity,Solution Providers,Missouri,2293929.697,0,-2293929.697
Rescue,Strengthen Food Rescue,Donation Education,Consumers,Massachusetts,0,29257952.05,29257952.05
Rescue,Strengthen Food Rescue,Donation Education,Government,Louisiana,795917.6545,0,-795917.6545
Prevention,Reshape Consumer Environments,Standardized Date Labels,Manufacturers,Delaware,23753.14638,49294.11998,25540.9736
Recycling,Recycle Anything Remaining,Livestock Feed,Producers,Pennsylvania,9902.662051,7128.476769,-2774.185283
Rescue,Strengthen Food Rescue,Donation Storage Handling & Capacity,Government,Delaware,29719.86881,0,-29719.86881
Prevention,Enhance Product Distribution,Intelligent Routing,Foodservice,Iowa,235753.1807,785571.6085,549818.4278
Rescue,Strengthen Food Rescue,Donation Education,Solution Providers,Kansas,583457.9475,0,-583457.9475
Prevention,Refine Product Management,Dynamic Pricing,Retailers,New Mexico,5819319.339,6048411.906,229092.5672
Prevention,Reshape Consumer Environments,Package Design,Manufacturers,Alabama,7402796.85,0,-7402796.85
Recycling,Recycle Anything Remaining,Livestock Feed,Retailers,South Dakota,788.8577996,567.8629109,-220.9948887
Rescue,Strengthen Food Rescue,Donation Coordination & Matching,Consumers,Colorado,0,12944648.23,12944648.23
Recycling,Recycle Anything Remaining,Centralized Composting,Consumers,Pennsylvania,0,280409.5793,280409.5793
Prevention,Optimize The Harvest,Buyer Specification Expansion,Retailers,Minnesota,0,4612667.863,4612667.863
Prevention,Optimize The Harvest,Buyer Specification Expansion,Manufacturers,New Jersey,0,2081113.845,2081113.845
Prevention,Enhance Product Distribution,Intelligent Routing,Manufacturers,Wisconsin,2306724.078,7686415.678,5379691.6
Recycling,Recycle Anything Remaining,Centralized Composting,Retailers,Massachusetts,0,28061.10431,28061.10431
Prevention,Reshape Consumer Environments,K-12 Lunch Improvements,Foodservice,Tennessee,100801.8929,266798.3209,165996.428
Prevention,Maximize Product Utilization,Active & Intelligent Packaging,Solution Providers,Pennsylvania,0,9182900.693,9182900.693
Prevention,Maximize Product Utilization,Manufacturing Line Optimization,Manufacturers,Montana,217299.9392,478134.6683,260834.7291
Recycling,Recycle Anything Remaining,Centralized Composting,Retailers,Michigan,0,35149.72639,35149.72639
Recycling,Recycle Anything Remaining,Livestock Feed,Retailers,Wisconsin,4828.051637,3475.49515,-1352.556487
Prevention,Enhance Product Distribution,Reduced Warehouse Handling,Retailers,West Virginia,46735.11234,237275.1661,190540.0538
Recycling,Recycle Anything Remaining,Centralized Anaerobic Digestion,Government,Tennessee,4962131.562,5525820.462,563688.9
Prevention,Optimize The Harvest,Gleaning,Producers,Massachusetts,28.67955156,0,-28.67955156
Rescue,Strengthen Food Rescue,Donation Education,Manufacturers,Rhode Island,6642.348669,4752.505051,-1889.843618
Prevention,Reshape Consumer Environments,Standardized Date Labels,Foodservice,Oklahoma,0,2372292.751,2372292.751
Prevention,Reshape Consumer Environments,Small Plates,Solution Providers,Washington,0,691833.5555,691833.5555
Rescue,Strengthen Food Rescue,Donation Education,Producers,Colorado,442680.2896,0,-442680.2896
Prevention,Refine Product Management,Markdown Alert Applications,Foodservice,Massachusetts,18196676.74,56262914.2,38066237.46
Prevention,Reshape Consumer Environments,Package Design,Consumers,New Jersey,0,73383715.83,73383715.83
Recycling,Recycle Anything Remaining,Centralized Anaerobic Digestion,Government,Iowa,2866419.246,3192039.132,325619.8857
Prevention,Enhance Product Distribution,Temperature Monitoring (pallet Transport),Retailers,New Jersey,1751649.028,34626808.5,32875159.47
Prevention,Maximize Product Utilization,Manufacturing Byproduct Utilization (upcycling),Solution Providers,Ohio,88225532.94,122633490.8,34407957.83
Prevention,Reshape Consumer Environments,K-12 Lunch Improvements,Government,New Mexico,43.79657025,43.79657025,0
Recycling,Recycle Anything Remaining,Centralized Composting,Foodservice,Delaware,0,6634.577971,6634.577971
Recycling,Recycle Anything Remaining,Centralized Composting,Consumers,Maine,0,38242.90555,38242.90555
Prevention,Reshape Consumer Environments,Consumer Education Campaigns,Consumers,South Dakota,0,16733961.32,16733961.32
Prevention,Reshape Consumer Environments,Standardized Date Labels,Consumers,Hawaii,0,4462131.654,4462131.654
Recycling,Recycle Anything Remaining,Centralized Anaerobic Digestion,Foodservice,South Dakota,0,1696.128419,1696.128419
Prevention,Refine Product Management,Minimized On Hand Inventory,Retailers,Kentucky,787681.6342,9808024.213,9020342.579
Recycling,Recycle Anything Remaining,Centralized Composting,Manufacturers,Colorado,0,12209.02414,12209.02414
Prevention,Enhance Product Distribution,Temperature Monitoring (pallet Transport),Solution Providers,South Dakota,0,614961.1607,614961.1607
Prevention,Reshape Consumer Environments,Package Design,Manufacturers,Arkansas,4571158.884,0,-4571158.884
Prevention,Refine Product Management,Temperature Monitoring (foodservice),Solution Providers,Nebraska,0,1249.723812,1249.723812
